序号,时间,开盘价,收盘价,当日最高,当日最低,当天成交量,当天成交额,振幅,涨跌幅,涨跌额,换手率
1,2011-01-04,2825.33,2852.65,2855.40,2810.11,122603786,147099287552.00,1.61,1.59,44.57,0.32
2,2011-01-05,2833.12,2838.59,2850.49,2824.30,115080018,136605556736.00,0.92,-0.49,-14.06,0.30
3,2011-01-06,2838.44,2824.20,2853.88,2816.95,93262308,114393079808.00,1.30,-0.51,-14.39,0.24
4,2011-01-07,2820.67,2838.80,2868.00,2807.87,130892453,139308482560.00,2.13,0.52,14.60,0.34
5,2011-01-10,2832.62,2791.81,2847.36,2786.86,102350530,112231858176.00,2.13,-1.66,-46.99,0.26
6,2011-01-11,2783.48,2804.05,2810.76,2770.34,91000762,95790473216.00,1.45,0.44,12.24,0.23
7,2011-01-12,2811.78,2821.30,2828.47,2788.13,88306879,89286860800.00,1.44,0.62,17.25,0.23
8,2011-01-13,2830.53,2827.71,2837.53,2810.87,82491775,88898904064.00,0.94,0.23,6.41,0.21
9,2011-01-14,2817.05,2791.34,2817.05,2780.44,84545719,91633254400.00,1.29,-1.29,-36.37,0.22
10,2011-01-17,2772.45,2706.66,2780.94,2698.78,108833417,106820714496.00,2.94,-3.03,-84.68,0.28
11,2011-01-18,2696.15,2708.98,2715.41,2683.37,69954664,68839817216.00,1.18,0.09,2.32,0.18
12,2011-01-19,2707.82,2758.10,2759.60,2700.81,88787874,90985005056.00,2.17,1.81,49.12,0.23
13,2011-01-20,2752.80,2677.65,2752.80,2676.13,96939735,96876167168.00,2.78,-2.92,-80.45,0.25
14,2011-01-21,2668.68,2715.29,2746.18,2667.29,110451978,104579031040.00,2.95,1.41,37.64,0.28
15,2011-01-24,2716.52,2695.72,2736.11,2690.65,97761295,97331437568.00,1.67,-0.72,-19.57,0.25
16,2011-01-25,2691.69,2677.43,2701.04,2661.45,79592282,76698460160.00,1.47,-0.68,-18.29,0.20
17,2011-01-26,2677.17,2708.81,2710.74,2676.77,67051842,68095148032.00,1.27,1.17,31.38,0.17
18,2011-01-27,2690.82,2749.15,2753.00,2677.21,117284234,116641243136.00,2.80,1.49,40.34,0.30
19,2011-01-28,2741.31,2752.75,2759.44,2733.29,91330388,99291856896.00,0.95,0.13,3.60,0.23
20,2011-01-31,2751.53,2790.69,2790.92,2748.54,98398465,107657560064.00,1.54,1.38,37.94,0.25
21,2011-02-01,2795.07,2798.96,2805.05,2785.30,78654505,90772496384.00,0.71,0.30,8.27,0.20
22,2011-02-09,2778.70,2774.06,2804.21,2764.87,95661046,105899646976.00,1.41,-0.89,-24.90,0.25
23,2011-02-10,2769.65,2818.16,2819.06,2760.18,106859974,118279651328.00,2.12,1.59,44.10,0.27
24,2011-02-11,2815.12,2827.33,2835.41,2807.60,116818537,128777969664.00,0.99,0.33,9.17,0.30
25,2011-02-14,2828.57,2899.13,2906.26,2828.57,171236743,182199173120.00,2.75,2.54,71.80,0.44
26,2011-02-15,2900.43,2899.24,2934.47,2892.64,168122251,189514072064.00,1.44,0.00,0.11,0.43
27,2011-02-16,2893.68,2923.90,2924.19,2882.55,139229772,161636286464.00,1.44,0.85,24.66,0.36
28,2011-02-17,2929.25,2926.96,2939.28,2905.03,141037735,170609098752.00,1.17,0.10,3.06,0.36
29,2011-02-18,2924.23,2899.79,2924.23,2890.26,124413192,143486877696.00,1.16,-0.93,-27.17,0.32
30,2011-02-21,2886.54,2932.25,2932.82,2884.19,130003748,147746553856.00,1.68,1.12,32.46,0.33
31,2011-02-22,2941.32,2855.52,2944.41,2851.62,171422414,194421161984.00,3.16,-2.62,-76.73,0.44
32,2011-02-23,2844.99,2862.63,2868.48,2839.20,120439995,138999595008.00,1.03,0.25,7.11,0.31
33,2011-02-24,2861.39,2878.60,2881.54,2854.56,119196731,138582360064.00,0.94,0.56,15.97,0.31
34,2011-02-25,2876.78,2878.56,2890.32,2848.65,109603082,125575315456.00,1.45,0.00,-0.04,0.28
35,2011-02-28,2880.17,2905.05,2906.17,2861.82,127274935,149576318976.00,1.54,0.92,26.49,0.33
36,2011-03-01,2906.28,2918.92,2931.58,2901.55,148645028,173892157440.00,1.03,0.48,13.87,0.38
37,2011-03-02,2905.51,2913.81,2924.96,2883.57,144173382,167054180352.00,1.42,-0.18,-5.11,0.37
38,2011-03-03,2918.73,2902.98,2937.56,2900.76,164828973,179827998720.00,1.26,-0.37,-10.83,0.42
39,2011-03-04,2902.19,2942.31,2944.46,2898.08,129271958,146052792320.00,1.60,1.35,39.33,0.33
40,2011-03-07,2952.72,2996.21,3000.43,2952.72,177510040,210234769408.00,1.62,1.83,53.90,0.46
41,2011-03-08,2996.73,2999.94,3001.62,2976.60,137269607,170430955520.00,0.84,0.12,3.73,0.35
42,2011-03-09,3002.55,3002.15,3012.04,2989.34,135053915,166821396480.00,0.76,0.07,2.21,0.35
43,2011-03-10,2995.77,2957.14,2995.77,2954.37,135238994,168228782080.00,1.38,-1.50,-45.01,0.35
44,2011-03-11,2942.42,2933.80,2966.98,2927.68,127845915,154274938880.00,1.33,-0.79,-23.34,0.33
45,2011-03-14,2923.98,2937.63,2939.65,2914.46,125582010,153795985408.00,0.86,0.13,3.83,0.32
46,2011-03-15,2927.98,2896.26,2927.98,2850.95,172272612,189815701504.00,2.62,-1.41,-41.37,0.44
47,2011-03-16,2894.25,2930.80,2934.02,2894.25,140044614,167171293184.00,1.37,1.19,34.54,0.36
48,2011-03-17,2906.96,2897.30,2935.63,2885.65,147421746,171981078528.00,1.71,-1.14,-33.50,0.38
49,2011-03-18,2920.81,2906.89,2930.61,2900.87,107808469,128490897408.00,1.03,0.33,9.59,0.28
50,2011-03-21,2913.91,2909.14,2927.07,2895.15,105097982,123623440384.00,1.10,0.08,2.25,0.27
51,2011-03-22,2917.69,2919.14,2923.39,2884.75,106469168,121852993536.00,1.33,0.34,10.00,0.27
52,2011-03-23,2919.02,2948.48,2950.42,2911.63,122810342,139787780096.00,1.33,1.01,29.34,0.32
53,2011-03-24,2949.85,2946.71,2958.66,2942.13,116307680,138238558208.00,0.56,-0.06,-1.77,0.30
54,2011-03-25,2948.54,2977.81,2985.08,2946.70,153205493,173562363904.00,1.30,1.06,31.10,0.39
55,2011-03-28,2985.36,2984.00,3005.78,2979.20,169306069,198231261184.00,0.89,0.21,6.19,0.44
56,2011-03-29,2979.86,2958.08,2994.17,2953.54,180640107,201697280000.00,1.36,-0.87,-25.92,0.46
57,2011-03-30,2955.45,2955.77,2968.18,2935.75,139370046,154444988416.00,1.10,-0.08,-2.31,0.36
58,2011-03-31,2954.65,2928.11,2961.63,2914.38,116767620,135660912640.00,1.60,-0.94,-27.66,0.30
59,2011-04-01,2932.48,2967.41,2967.85,2924.39,110219751,127272837120.00,1.48,1.34,39.30,0.28
60,2011-04-06,2964.21,3001.36,3005.24,2963.90,156718414,178704629760.00,1.39,1.14,33.95,0.40
61,2011-04-07,3003.20,3007.91,3012.29,2990.31,133886713,154311131136.00,0.73,0.22,6.55,0.34
62,2011-04-08,3005.37,3030.02,3031.10,2998.34,123817025,148542341120.00,1.09,0.74,22.11,0.32
63,2011-04-11,3037.91,3022.75,3059.57,3019.89,158087448,184386568192.00,1.31,-0.24,-7.27,0.41
64,2011-04-12,3012.79,3021.37,3039.12,3003.45,157956281,167117832192.00,1.18,-0.05,-1.38,0.41
65,2011-04-13,3006.83,3050.40,3050.40,2994.47,138585678,148905771008.00,1.85,0.96,29.03,0.36
66,2011-04-14,3049.67,3042.64,3058.24,3036.73,140801851,150275932160.00,0.71,-0.25,-7.76,0.36
67,2011-04-15,3036.34,3050.53,3062.53,3020.16,141741926,150697164800.00,1.39,0.26,7.89,0.36
68,2011-04-18,3040.53,3057.33,3067.46,3037.19,150764093,162870640640.00,0.99,0.22,6.80,0.39
69,2011-04-19,3038.81,2999.04,3038.81,2996.22,153485258,167927742464.00,1.39,-1.91,-58.29,0.39
70,2011-04-20,3005.98,3007.04,3019.12,2992.67,128317167,144904617984.00,0.88,0.27,8.00,0.33
71,2011-04-21,3021.77,3026.67,3035.47,3012.54,128332496,148319436800.00,0.76,0.65,19.63,0.33
72,2011-04-22,3025.70,3010.52,3032.97,3004.47,124375145,138236018688.00,0.94,-0.53,-16.15,0.32
73,2011-04-25,3003.03,2964.95,3003.61,2964.64,128284888,142058225664.00,1.29,-1.51,-45.57,0.33
74,2011-04-26,2956.95,2938.98,2970.28,2931.50,106497504,113890836480.00,1.31,-0.88,-25.97,0.27
75,2011-04-27,2946.33,2925.41,2961.13,2907.66,116709578,116293386240.00,1.82,-0.46,-13.57,0.30
76,2011-04-28,2937.95,2887.04,2953.19,2884.84,121275676,117862817792.00,2.34,-1.31,-38.37,0.31
77,2011-04-29,2886.63,2911.51,2913.56,2871.01,101989391,95097004032.00,1.47,0.85,24.47,0.26
78,2011-05-03,2911.51,2932.19,2933.46,2890.23,108343988,104159657984.00,1.48,0.71,20.68,0.28
79,2011-05-04,2916.84,2866.02,2916.97,2860.07,124379051,126914650112.00,1.94,-2.26,-66.17,0.32
80,2011-05-05,2854.77,2872.40,2880.13,2849.91,98861012,99921805312.00,1.05,0.22,6.38,0.25
81,2011-05-06,2842.76,2863.89,2881.71,2834.46,102577116,106606075904.00,1.64,-0.30,-8.51,0.26
82,2011-05-09,2868.24,2872.46,2885.18,2861.42,87632168,94783381504.00,0.83,0.30,8.57,0.23
83,2011-05-10,2876.98,2890.63,2891.03,2865.10,87583240,96995082240.00,0.90,0.63,18.17,0.23
84,2011-05-11,2890.35,2883.42,2897.14,2868.35,97584234,107788017664.00,1.00,-0.25,-7.21,0.25
85,2011-05-12,2864.98,2844.08,2876.45,2843.10,106428484,115013320704.00,1.16,-1.36,-39.34,0.27
86,2011-05-13,2846.31,2871.03,2871.99,2832.25,103797662,105286844416.00,1.40,0.95,26.95,0.27
87,2011-05-16,2864.38,2849.07,2877.09,2846.31,91146871,96655507456.00,1.07,-0.76,-21.96,0.23
88,2011-05-17,2846.45,2852.77,2869.23,2821.20,102872165,110882775040.00,1.69,0.13,3.70,0.26
89,2011-05-18,2846.73,2872.77,2877.43,2843.68,83814176,91304460288.00,1.18,0.70,20.00,0.22
90,2011-05-19,2879.39,2859.57,2884.14,2856.83,83407241,92002295808.00,0.95,-0.46,-13.20,0.21
91,2011-05-20,2858.31,2858.46,2866.76,2850.45,75151421,84605231104.00,0.57,-0.04,-1.11,0.19
92,2011-05-23,2853.29,2774.57,2853.29,2771.12,107910958,112663347200.00,2.87,-2.93,-83.89,0.28
93,2011-05-24,2766.06,2767.06,2771.75,2744.78,82556845,89829720064.00,0.97,-0.27,-7.51,0.21
94,2011-05-25,2764.56,2741.74,2771.18,2737.33,80872913,87059824640.00,1.22,-0.92,-25.32,0.21
95,2011-05-26,2755.39,2736.53,2764.89,2734.54,86296156,93521297408.00,1.11,-0.19,-5.21,0.22
96,2011-05-27,2739.39,2709.95,2746.84,2708.55,93607904,93187325952.00,1.40,-0.97,-26.58,0.24
97,2011-05-30,2704.49,2706.36,2728.06,2689.21,73811397,72145698816.00,1.43,-0.13,-3.59,0.19
98,2011-05-31,2707.56,2743.47,2744.93,2702.09,78432043,79055486976.00,1.58,1.37,37.11,0.20
99,2011-06-01,2737.06,2743.57,2744.56,2726.50,79444360,78783373312.00,0.66,0.00,0.10,0.20
100,2011-06-02,2715.32,2705.18,2728.00,2676.54,96806564,95553929216.00,1.88,-1.40,-38.39,0.25
101,2011-06-03,2701.77,2728.02,2732.43,2701.25,74710689,79125315584.00,1.15,0.84,22.84,0.19
102,2011-06-07,2720.97,2744.30,2745.77,2717.31,71784301,79913369600.00,1.04,0.60,16.28,0.18
103,2011-06-08,2742.04,2750.29,2754.12,2715.25,80551647,88231337984.00,1.42,0.22,5.99,0.21
104,2011-06-09,2743.54,2703.34,2747.33,2702.70,88705414,95853101056.00,1.62,-1.71,-46.95,0.23
105,2011-06-10,2696.13,2705.14,2707.74,2672.32,79638863,83971416064.00,1.31,0.07,1.80,0.20
106,2011-06-13,2687.65,2700.38,2703.42,2669.40,69760572,74062381056.00,1.26,-0.18,-4.76,0.18
107,2011-06-14,2696.22,2730.04,2735.55,2691.67,89853815,96063504384.00,1.62,1.10,29.66,0.23
108,2011-06-15,2717.68,2705.43,2730.48,2705.07,79347958,86069469184.00,0.93,-0.90,-24.61,0.20
109,2011-06-16,2685.63,2664.28,2691.94,2663.12,76455594,77300768768.00,1.07,-1.52,-41.15,0.20
110,2011-06-17,2661.41,2642.82,2675.03,2641.39,70244511,75238383616.00,1.26,-0.81,-21.46,0.18
111,2011-06-20,2635.83,2621.25,2637.88,2610.99,67629608,66141503488.00,1.02,-0.82,-21.57,0.17
112,2011-06-21,2628.02,2646.48,2648.02,2618.81,71564203,74109124608.00,1.11,0.96,25.23,0.18
113,2011-06-22,2648.53,2649.32,2657.73,2633.47,63745434,65344770048.00,0.92,0.11,2.84,0.16
114,2011-06-23,2640.66,2688.25,2693.42,2630.34,81092961,83468582912.00,2.38,1.47,38.93,0.21
115,2011-06-24,2678.05,2746.21,2759.71,2674.30,139445432,144335912960.00,3.18,2.16,57.96,0.36
116,2011-06-27,2746.79,2758.23,2769.04,2743.50,110150858,117141372928.00,0.93,0.44,12.02,0.28
117,2011-06-28,2759.71,2759.20,2763.28,2736.40,94974797,104902033408.00,0.97,0.04,0.97,0.24
118,2011-06-29,2757.40,2728.48,2759.23,2727.25,94571113,99758456832.00,1.16,-1.11,-30.72,0.24
119,2011-06-30,2729.99,2762.08,2774.36,2729.99,102322632,104379187200.00,1.63,1.23,33.60,0.26
120,2011-07-01,2767.83,2759.36,2778.67,2752.97,101893132,106444529664.00,0.93,-0.10,-2.72,0.26
121,2011-07-04,2770.94,2812.82,2813.27,2770.94,138419239,145547640832.00,1.53,1.94,53.46,0.36
122,2011-07-05,2812.72,2816.35,2818.14,2799.11,117236370,129553776640.00,0.68,0.13,3.53,0.30
123,2011-07-06,2811.81,2810.48,2811.81,2780.73,110007038,122990297088.00,1.10,-0.21,-5.87,0.28
124,2011-07-07,2813.19,2794.27,2825.12,2793.89,126737517,141310181376.00,1.11,-0.58,-16.21,0.33
125,2011-07-08,2797.03,2797.77,2807.38,2784.13,92237122,103601684480.00,0.83,0.13,3.50,0.24
126,2011-07-11,2789.45,2802.69,2807.32,2780.67,91836057,102142574592.00,0.95,0.18,4.92,0.24
127,2011-07-12,2783.72,2754.58,2783.72,2752.19,103674393,112393633792.00,1.12,-1.72,-48.11,0.27
128,2011-07-13,2756.03,2795.48,2797.27,2756.03,99659093,108678397952.00,1.50,1.48,40.90,0.26
129,2011-07-14,2798.21,2810.44,2811.70,2788.98,109687292,126290747392.00,0.81,0.54,14.96,0.28
130,2011-07-15,2803.58,2820.17,2821.34,2794.16,114861888,128574341120.00,0.97,0.35,9.73,0.30
131,2011-07-18,2821.36,2816.69,2826.96,2807.11,113465532,130225938432.00,0.70,-0.12,-3.48,0.29
132,2011-07-19,2804.92,2796.98,2809.31,2790.69,97197375,110702043136.00,0.66,-0.70,-19.71,0.25
133,2011-07-20,2810.44,2794.21,2817.28,2779.38,88551256,100294746112.00,1.36,-0.10,-2.77,0.23
134,2011-07-21,2795.90,2765.89,2799.85,2763.42,88746469,96644841472.00,1.30,-1.01,-28.32,0.23
135,2011-07-22,2769.86,2770.79,2782.17,2763.80,70211837,82498347008.00,0.66,0.18,4.90,0.18
136,2011-07-25,2759.63,2688.75,2759.63,2680.75,111242249,120856436736.00,2.85,-2.96,-82.04,0.29
137,2011-07-26,2685.75,2703.03,2704.94,2677.12,72881454,79482937344.00,1.03,0.53,14.28,0.19
138,2011-07-27,2690.14,2723.49,2726.80,2680.43,80407781,92082364416.00,1.72,0.76,20.46,0.21
139,2011-07-28,2701.77,2708.78,2712.09,2684.66,78474915,90451812352.00,1.01,-0.54,-14.71,0.20
140,2011-07-29,2706.50,2701.73,2721.53,2681.27,75471655,83784761344.00,1.49,-0.26,-7.05,0.19
141,2011-08-01,2697.57,2703.78,2712.89,2688.53,59000711,66073997312.00,0.90,0.08,2.05,0.15
142,2011-08-02,2689.97,2679.26,2689.97,2651.28,69993181,77994115072.00,1.43,-0.91,-24.52,0.18
143,2011-08-03,2659.12,2678.49,2688.06,2654.36,63981610,73381011456.00,1.26,-0.03,-0.77,0.16
144,2011-08-04,2683.19,2684.04,2698.81,2675.53,58872111,69338644480.00,0.87,0.21,5.55,0.15
145,2011-08-05,2620.28,2626.42,2644.58,2605.14,78571833,87777763328.00,1.47,-2.15,-57.62,0.20
146,2011-08-08,2599.29,2526.82,2614.19,2497.92,110302496,117550546944.00,4.43,-3.79,-99.60,0.28
147,2011-08-09,2468.03,2526.07,2537.41,2437.68,103723892,107745075200.00,3.95,-0.03,-0.75,0.27
148,2011-08-10,2562.39,2549.18,2579.16,2544.95,100369343,104038326272.00,1.35,0.91,23.11,0.26
149,2011-08-11,2508.86,2581.51,2582.16,2505.01,95597265,100089143296.00,3.03,1.27,32.33,0.25
150,2011-08-12,2593.40,2593.17,2605.45,2585.85,97171206,100034764800.00,0.76,0.45,11.66,0.25
151,2011-08-15,2598.14,2626.77,2627.10,2584.41,88676842,90997350400.00,1.65,1.30,33.60,0.23
152,2011-08-16,2627.85,2608.17,2636.36,2601.50,85226861,90247921664.00,1.33,-0.71,-18.60,0.22
153,2011-08-17,2603.96,2601.26,2617.17,2596.04,70109146,72200593408.00,0.81,-0.26,-6.91,0.18
154,2011-08-18,2601.99,2559.47,2603.49,2556.86,70989277,76087951360.00,1.79,-1.61,-41.79,0.18
155,2011-08-19,2519.65,2534.36,2538.27,2513.75,70606801,73771900928.00,0.96,-0.98,-25.11,0.18
156,2011-08-22,2534.57,2515.86,2553.42,2507.78,61214429,65524543488.00,1.80,-0.73,-18.50,0.16
157,2011-08-23,2524.88,2554.02,2554.18,2514.95,60944193,63210700800.00,1.56,1.52,38.16,0.16
158,2011-08-24,2562.41,2541.09,2569.28,2536.26,65462469,70690693120.00,1.29,-0.51,-12.93,0.17
159,2011-08-25,2546.40,2615.26,2616.30,2545.05,104537978,104570298368.00,2.80,2.92,74.17,0.27
160,2011-08-26,2602.21,2612.19,2616.64,2593.24,77850450,81503338496.00,0.89,-0.12,-3.07,0.20
161,2011-08-29,2595.47,2576.41,2595.47,2570.84,73696095,78406746112.00,0.94,-1.37,-35.78,0.19
162,2011-08-30,2592.60,2566.59,2615.14,2563.69,75910686,79541813248.00,2.00,-0.38,-9.82,0.20
163,2011-08-31,2566.53,2567.34,2574.42,2545.10,59169720,62236266496.00,1.14,0.03,0.75,0.15
164,2011-09-01,2569.80,2556.04,2584.80,2547.85,57290927,59881558016.00,1.44,-0.44,-11.30,0.15
165,2011-09-02,2551.56,2528.28,2557.31,2517.62,54436581,55969021952.00,1.55,-1.09,-27.76,0.14
166,2011-09-05,2510.10,2478.74,2510.10,2478.20,55031066,56402276352.00,1.26,-1.96,-49.54,0.14
167,2011-09-06,2465.56,2470.52,2482.24,2459.54,49223173,50140332032.00,0.92,-0.33,-8.22,0.13
168,2011-09-07,2480.94,2516.09,2516.75,2475.22,59665860,61951467520.00,1.68,1.84,45.57,0.15
169,2011-09-08,2523.96,2498.94,2524.38,2498.11,55271952,60046843904.00,1.04,-0.68,-17.15,0.14
170,2011-09-09,2506.97,2497.75,2528.42,2487.15,51253380,53535158272.00,1.65,-0.05,-1.19,0.13
171,2011-09-13,2467.73,2471.30,2477.08,2453.80,49930919,51851702272.00,0.93,-1.06,-26.45,0.13
172,2011-09-14,2478.59,2484.83,2485.93,2439.37,54065977,54761652224.00,1.88,0.55,13.53,0.14
173,2011-09-15,2482.86,2479.05,2496.57,2477.65,56003688,55860903936.00,0.76,-0.23,-5.78,0.14
174,2011-09-16,2490.18,2482.34,2499.48,2475.76,47986854,49584869376.00,0.96,0.13,3.29,0.12
175,2011-09-19,2469.60,2437.79,2469.60,2437.17,48746822,48599666688.00,1.31,-1.79,-44.55,0.13
176,2011-09-20,2433.72,2447.75,2460.03,2426.70,46265892,47956373504.00,1.37,0.41,9.96,0.12
177,2011-09-21,2450.12,2512.96,2517.67,2438.85,86689276,88188035072.00,3.22,2.66,65.21,0.22
178,2011-09-22,2491.21,2443.06,2499.98,2442.46,74695409,74891288576.00,2.29,-2.78,-69.90,0.19
179,2011-09-23,2411.83,2433.16,2440.75,2400.14,67302693,67947196416.00,1.66,-0.41,-9.90,0.17
180,2011-09-26,2416.23,2393.18,2441.73,2384.64,57425042,58915926016.00,2.35,-1.64,-39.98,0.15
181,2011-09-27,2410.99,2415.05,2423.91,2395.16,55231432,55315103744.00,1.20,0.91,21.87,0.14
182,2011-09-28,2427.29,2392.06,2430.27,2383.40,55758447,55720882176.00,1.94,-0.95,-22.99,0.14
183,2011-09-29,2378.42,2365.34,2387.54,2358.57,59191239,57021448192.00,1.21,-1.12,-26.72,0.15
184,2011-09-30,2368.40,2359.22,2377.54,2348.22,48818372,46104608768.00,1.24,-0.26,-6.12,0.13
185,2011-10-10,2363.08,2344.79,2368.15,2338.69,41745306,39926411264.00,1.25,-0.61,-14.43,0.11
186,2011-10-11,2401.74,2348.52,2412.38,2323.41,63975806,62773514240.00,3.79,0.16,3.73,0.16
187,2011-10-12,2335.49,2420.00,2421.69,2318.63,91508568,84438392832.00,4.39,3.04,71.48,0.24
188,2011-10-13,2412.83,2438.79,2439.64,2406.28,87860106,82192310272.00,1.38,0.78,18.79,0.23
189,2011-10-14,2429.89,2431.38,2437.59,2409.29,60673160,58276065280.00,1.16,-0.30,-7.41,0.16
190,2011-10-17,2434.49,2440.40,2452.99,2424.73,58267682,57704517632.00,1.16,0.37,9.02,0.15
191,2011-10-18,2423.28,2383.49,2425.65,2378.67,79525744,69338906624.00,1.93,-2.33,-56.91,0.20
192,2011-10-19,2387.83,2377.51,2401.69,2374.42,58534637,53173514240.00,1.14,-0.25,-5.98,0.15
193,2011-10-20,2365.91,2331.37,2368.64,2315.90,65425216,57867763712.00,2.22,-1.94,-46.14,0.17
194,2011-10-21,2330.51,2317.27,2340.31,2313.78,48436726,43725376768.00,1.14,-0.60,-14.10,0.12
195,2011-10-24,2322.02,2370.33,2371.09,2307.15,70874071,62971553792.00,2.76,2.29,53.06,0.18
196,2011-10-25,2366.40,2409.67,2414.05,2357.39,90888876,83635007488.00,2.39,1.66,39.34,0.23
197,2011-10-26,2398.19,2427.48,2448.98,2394.73,107447168,98578022400.00,2.25,0.74,17.81,0.28
198,2011-10-27,2432.47,2435.61,2449.70,2426.31,82408960,75098558464.00,0.96,0.33,8.13,0.21
199,2011-10-28,2462.08,2473.41,2483.76,2456.18,110032722,104186687488.00,1.13,1.55,37.80,0.28
200,2011-10-31,2470.25,2468.25,2478.31,2455.20,84172562,81783447552.00,0.93,-0.21,-5.16,0.22
201,2011-11-01,2450.33,2470.02,2491.35,2445.53,88892416,85052780544.00,1.86,0.07,1.77,0.23
202,2011-11-02,2437.87,2504.11,2505.12,2433.72,105468198,102082764800.00,2.89,1.38,34.09,0.27
203,2011-11-03,2510.84,2508.09,2535.24,2507.30,136576325,136305610752.00,1.12,0.16,3.98,0.35
204,2011-11-04,2525.24,2528.29,2536.78,2512.90,101873674,99981185024.00,0.95,0.81,20.20,0.26
205,2011-11-07,2518.90,2509.80,2536.18,2507.61,78867174,78893506560.00,1.13,-0.73,-18.49,0.20
206,2011-11-08,2514.26,2503.84,2524.82,2500.02,78672655,76914040832.00,0.99,-0.24,-5.96,0.20
207,2011-11-09,2512.59,2524.92,2527.70,2489.02,78208571,78141603840.00,1.54,0.84,21.08,0.20
208,2011-11-10,2498.59,2479.54,2507.45,2478.14,87111089,85463859200.00,1.16,-1.80,-45.38,0.22
209,2011-11-11,2483.96,2481.08,2496.53,2472.76,66137667,65005133568.00,0.96,0.06,1.54,0.17
210,2011-11-14,2498.67,2528.71,2529.63,2496.33,81229811,82523779072.00,1.34,1.92,47.63,0.21
211,2011-11-15,2525.95,2529.76,2534.06,2518.70,79227750,80497344512.00,0.61,0.04,1.05,0.20
212,2011-11-16,2529.07,2466.96,2529.46,2456.86,93382108,92396961792.00,2.87,-2.48,-62.80,0.24
213,2011-11-17,2467.70,2463.05,2482.53,2459.16,66414285,65902702080.00,0.95,-0.16,-3.91,0.17
214,2011-11-18,2448.39,2416.56,2448.51,2411.04,72180808,70566567936.00,1.52,-1.89,-46.49,0.19
215,2011-11-21,2416.73,2415.13,2419.24,2396.09,50170365,49511107840.00,0.96,-0.06,-1.43,0.13
216,2011-11-22,2400.98,2412.62,2414.85,2387.83,51443233,50689583360.00,1.12,-0.10,-2.51,0.13
217,2011-11-23,2415.20,2395.06,2418.56,2390.65,50547850,50043359744.00,1.16,-0.73,-17.56,0.13
218,2011-11-24,2379.15,2397.55,2409.72,2370.69,52154148,51411098368.00,1.63,0.10,2.49,0.13
219,2011-11-25,2393.33,2380.22,2403.94,2372.62,45362552,46246206976.00,1.31,-0.72,-17.33,0.12
220,2011-11-28,2383.89,2383.03,2396.83,2372.16,46064666,46414831616.00,1.04,0.12,2.81,0.12
221,2011-11-29,2398.99,2412.39,2413.33,2388.20,55123190,57068884992.00,1.05,1.23,29.36,0.14
222,2011-11-30,2406.33,2333.41,2407.32,2319.44,76611103,72215265280.00,3.64,-3.27,-78.98,0.20
223,2011-12-01,2392.48,2386.86,2423.56,2376.92,98650045,95200518144.00,2.00,2.29,53.45,0.25
224,2011-12-02,2374.90,2360.66,2378.30,2344.85,59868846,57320156672.00,1.40,-1.10,-26.20,0.15
225,2011-12-05,2363.11,2333.23,2363.13,2327.61,52214968,48641215744.00,1.50,-1.16,-27.43,0.13
226,2011-12-06,2326.66,2325.91,2331.89,2310.16,45917076,42625594880.00,0.93,-0.31,-7.32,0.12
227,2011-12-07,2325.56,2332.73,2339.85,2317.81,41570306,39767464448.00,0.95,0.29,6.82,0.11
228,2011-12-08,2329.91,2329.82,2346.65,2302.64,51473521,49219492864.00,1.89,-0.12,-2.91,0.13
229,2011-12-09,2315.51,2315.27,2331.26,2309.46,39988559,38885193984.00,0.94,-0.62,-14.55,0.10
230,2011-12-12,2312.15,2291.54,2315.81,2290.26,39632577,36516062464.00,1.10,-1.02,-23.73,0.10
231,2011-12-13,2283.22,2248.59,2285.81,2245.87,58627476,51593326592.00,1.74,-1.87,-42.95,0.15
232,2011-12-14,2241.39,2228.52,2256.74,2224.73,44079821,38621178624.00,1.42,-0.89,-20.07,0.11
233,2011-12-15,2215.79,2180.90,2216.91,2179.47,56712187,47305130496.00,1.68,-2.14,-47.62,0.15
234,2011-12-16,2179.51,2224.84,2225.54,2170.75,57265902,50568967424.00,2.51,2.01,43.94,0.15
235,2011-12-19,2208.07,2218.24,2221.45,2164.89,57818463,49717681408.00,2.54,-0.30,-6.60,0.15
236,2011-12-20,2209.70,2215.93,2239.86,2206.52,52761114,46564369408.00,1.50,-0.10,-2.31,0.14
237,2011-12-21,2230.18,2191.15,2237.47,2188.71,50877261,46125532160.00,2.20,-1.12,-24.78,0.13
238,2011-12-22,2178.57,2186.30,2201.59,2149.42,58986117,48023419136.00,2.38,-0.22,-4.85,0.15
239,2011-12-23,2183.91,2204.78,2219.78,2178.14,52421325,43478781952.00,1.90,0.85,18.48,0.13
240,2011-12-26,2193.66,2190.11,2213.45,2186.07,43613663,36403330816.00,1.24,-0.67,-14.67,0.11
241,2011-12-27,2186.71,2166.21,2196.97,2162.72,45712179,37400003584.00,1.56,-1.09,-23.90,0.12
242,2011-12-28,2157.65,2170.01,2170.67,2134.02,49633436,40007345152.00,1.69,0.18,3.80,0.13
243,2011-12-29,2161.18,2173.56,2181.96,2157.11,44749199,35989659648.00,1.15,0.16,3.55,0.12
244,2011-12-30,2177.52,2199.42,2200.99,2177.52,51943836,42698835712.00,1.08,1.19,25.86,0.13
